previous_state,next_state,valid
520,520,
520,1835529,
1835529,1835529,
1835529,1850633,
1850633,1883401,
1883401,1883401,
1883401,1883637,
1883637,1900021,
1900021,1900021,
1900021,1899785,
1899785,1883401,
1883401,33289,
33289,1835529,
1835529,1852149,
1852149,1852149,
1852149,1900021,
1900021,1884917,
1884917,1884917,
1884917,1852149,
1852149,1851913,
1851913,1835529,
1835529,1835765,
1835765,1852149,
1852149,65013,
65013,1900021,
1899785,64777,
64777,1883401,
1883401,1868297,
1868297,1835529,
1835529,520,
520,15624,
15624,48628,
48628,65012,
65012,65012,
65012,1900020,
1900020,1900020,
1900020,1900021,
1900021,1900020,
1899785,1868297,
1835529,1883401,
1900021,65012,
65012,17140,
17140,17140,
17140,1852149,
1852149,17140,
17140,32244,
32244,32244,
32244,1900020,
15624,48392,
48392,48392,
48392,48628,
1900020,1884916,
1884916,1852148,
1852148,1852148,
1852148,520,
520,1852148,
1852148,1900020,
1900020,1852148,
1852148,1867252,
1867252,64776,
64776,48392,
48392,65012,
1884916,1900020,
1900020,1899784,
1899784,1883400,
1883400,1883636,
1883636,1883400,
1883636,1900020,
1900020,65012,
65012,64776,
48392,33288,
33288,15624,
15624,33288,
33288,48392,
48392,520,
520,16904,
16904,520,
520,756,
756,1852148,
1852148,1884916,
1884916,1884916,
1900020,1883400,
1883400,1900020,
1900020,1883636,
1883636,1867252,
1867252,1900020,
1900021,1852149,
1852149,1867253,
1867253,1867017,
520,33288,
33288,33288,
48392,15624,
48628,1900020,
1899784,1900020,
1884916,1867252,
1867252,1883636,
1883636,1883636,
1899784,1899784,
1899784,1883636,
65012,1899784,
1883636,1852148,
17140,520,
